Spirited Away	['Atmospheric', 'Offbeat', 'Stylized', 'Exciting', 'young_heroes', 'rescue', 'curses_spells_and_rituals', 'Escapades', 'Imaginary', 'Supernatural', 'Youth', 'ghost', 'ADVENTURE', 'ANIMATION', 'FAMILY', 'FANTASY', 'foreign', 'Anime', 'contemporary', '21st_century', 'Asia', 'Japan', 'Theme_Park', 'Family_outing', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Berlin_festival_winner', 'Prestigious_Awards', 'surreal', 'Serious', 'Fantastic']
Aliens	['Rough', 'Suspenseful', 'Exciting', 'Bleak', 'Scary', 'deadly_creature', 'Evil_Alien', 'survival', 'space_travel', 'Danger', 'Deadly', 'Escapades', 'Space_and_aliens', 'ACTION', 'Hollywood_Tone', 'HORROR', 'THRILLER', 'Future', 'Outer_space', 'Distant_Planet', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Essential', 'Modern_classic', 'oscar_winner', 'Prestigious_Awards', 'Ensemble_cast', 'Strong_Female_Presence', 'Serious', 'Fantastic', 'Fast', 'Special_effects', 'Strong_Violent_Content']
The Seventh Seal	['Atmospheric', 'Bleak', 'Contemplative', 'Gloomy', 'Stylized', 'Captivating', 'Tense', 'Suspenseful', 'dealing_with_death', 'human_nature', 'human_spirit', 'psychological', 'plague', 'cause_and_meaning', 'Religions_or_Cults', 'Mind_and_soul', 'DRAMA', 'PERIOD', 'foreign', 'FANTASY', 'Middle_ages', 'Europe', 'Sweden', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'Cannes_festival_winner', 'Prestigious_Awards', 'On_the_Road', 'surreal', 'based_on_play', 'Serious', 'Semi_fantastic', 'Slow']
Requiem for a Dream	['Atmospheric', 'Bleak', 'Disturbing', 'Captivating', 'Tense', 'downfall', 'psychological', 'destructive_relationship', 'parents_and_children', 'addiction', 'drug_abuse', 'Life_is_a_bitch', 'Mind_and_soul', 'DRAMA', 'PERIOD', '20th_century', '90s', 'New_York', 'USA', 'Urban', 'award_winner', 'critically_acclaimed', 'Modern_classic', 'surreal', 'Serious', 'Realistic', 'Violent_Content']
Barry Lyndon	['Captivating', 'Cynical', 'Atmospheric', 'Bleak', 'Clever', 'Contemplative', 'Gloomy', 'Stylized', 'rise_and_fall', 'self_discovery', 'Ambition', 'Dishonesty', 'Escapades', 'Unfulfillment', 'Power_relations', 'soldier', 'DRAMA', 'PERIOD', '18th_century', 'England', 'Europe', 'Ireland', 'award_winner', 'critically_acclaimed', 'Essential', 'masterpiece', 'Prestigious_Awards', 'oscar_winner', 'Epic', 'Voice_over', 'based_on_book', 'Serious', 'Realistic', 'Slow', 'Brief_Nudity', 'Mild_Violent_Content']
North by Northwest	['Clever', 'Suspenseful', 'Witty', 'Exciting', 'Captivating', 'Tense', 'Mind_Bending', 'protagonist_as_suspect', 'chase', 'espionage', 'on_the_run', 'uncover_truth', 'mistaken_identity', 'Chases_and_races', 'Dishonesty', 'MYSTERY', 'THRILLER', '20th_century', '50s', 'Chicago', 'Illinois', 'Indiana', 'New_York', 'South_Dakota', 'USA', 'Washington_dc', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'Twists_and_turns', 'On_the_Road', 'Serious', 'Realistic', 'Mild_Violent_Content']
Memento	['Bleak', 'Clever', 'Offbeat', 'Captivating', 'Mind_Bending', 'Tense', 'Atmospheric', 'Rough', 'manipulations', 'uncover_truth', 'psychological', 'haunted_by_the_past', 'memory_loss', 'mistaken_identity', 'murder', 'Crimes', 'CRIME', 'MYSTERY', 'THRILLER', 'independent', 'Neo_noir', 'Postmodernism', '20th_century', '90s', 'USA', 'award_winner', 'critically_acclaimed', 'Essential', 'Original', 'Modern_classic', 'Prestigious_Awards', 'Sundance_festival_winner', 'controversial', 'Nonlinear', 'Twists_and_turns', 'Voice_over', 'based_on_short_story', 'Serious', 'Realistic', 'Profanity', 'Violent_Content']
The Best Years of Our Lives	['Atmospheric', 'Sentimental', 'Sincere', 'Touching', 'Captivating', 'buddies', 'human_nature', 'psychological', 'couple_relations', 'americana', 'family_in_crisis', 'haunted_by_the_past', 'homecoming', 'DRAMA', 'ROMANCE', 'Hollywood_Tone', '20th_century', '40s', 'World_War_2', 'Small_town', 'Date_night', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Golden_globe_winner', 'Prestigious_Awards', 'Ensemble_cast', 'Epic', 'Episodic', 'based_on_book', 'Serious', 'Realistic', 'Slow']
Once Upon a Time in America	['Atmospheric', 'Rough', 'Captivating', 'Contemplative', 'buddies', 'criminal_heroes', 'gangsters', 'rise_and_fall', 'friendship', 'Ambition', 'Crimes', 'Friends', 'CRIME', 'DRAMA', 'PERIOD', '20s', '20th_century', '30s', '60s', 'New_York', 'USA', 'award_winner', 'critically_acclaimed', 'masterpiece', 'Modern_classic', 'Ensemble_cast', 'Epic', 'Nonlinear', 'Saga', 'gory', 'based_on_book', 'Serious', 'Realistic', 'Nudity', 'Profanity', 'Strong_Violent_Content']
Psycho	['Atmospheric', 'Suspenseful', 'Scary', 'Tense', 'Clever', 'split_personality', 'psychological', 'woman_in_danger', 'Crimes', 'Danger', 'Deadly', 'Mind_and_soul', 'mentally_unstable', 'HORROR', 'THRILLER', 'independent', '20th_century', '50s', 'Arizona', 'USA', 'award_winner', 'blockbuster', 'Classic', 'controversial', 'critically_acclaimed', 'Essential', 'masterpiece', 'Twists_and_turns', 'Voice_over', 'based_on_book', 'Serious', 'Realistic', 'Orchestral', 'Brief_Nudity', 'Violent_Content']
The Help	['Uplifting', 'Emotional', 'Stylized', 'Touching', 'Captivating', 'Thought_Provoking', 'Bittersweet', 'master_and_servant', 'against_the_rules', 'friendship', 'interracial_relations', 'discrimination', 'small_town_life', 'Hopes', 'Mind_and_soul', 'DRAMA', 'Hollywood_Tone', 'PERIOD', '20th_century', '60s', 'Mississippi', 'USA', 'Small_town', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Golden_globe_winner', 'Prestigious_Awards', 'Strong_Female_Presence', 'based_on_book', 'Serious', 'Realistic']
The Lion King	['Feel_Good', 'Touching', 'Sentimental', 'master_villain', 'orphan', 'betrayal', 'coming_of_age', 'good_versus_evil', 'haunted_by_the_past', 'Righting_the_Wronged', 'Dishonesty', 'ADVENTURE', 'ANIMATION', 'FAMILY', 'MUSICAL', 'FANTASY', 'Africa', 'Jungle', 'Family_outing', 'Kids', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Modern_classic', 'oscar_winner', 'Prestigious_Awards', 'Semi_Serious', 'Fantastic', 'Show_Tunes', 'Mild_Violent_Content']
Network	['Clever', 'Witty', 'Captivating', 'Biting', 'Cynical', 'workplace_romance', 'celebrity_culture', 'media_satire', 'tv_show', 'workplace_situations', 'Artists_and_showbiz', 'Lifestyle', 'Love_and_romance', 'DRAMA', '20th_century', '70s', 'USA', 'Classic', 'critically_acclaimed', 'Essential', 'oscar_winner', 'Prestigious_Awards', 'Satire', 'Verbal_byplay', 'Dark_Humor', 'Voice_over', 'Talky', 'Semi_Serious', 'Realistic']
Santa Claus Conquers the Martians	['Feel_Good', 'Humorous', 'Offbeat', 'alien_encounter', 'culture_clash', 'fish_out_of_water', 'kidnapping', 'legends_and_myths', 'Imaginary', 'Misfit', 'Space_and_aliens', 'FAMILY', 'FANTASY', 'independent', 'COMEDY', 'Mars', 'Family_outing', 'Silly_Humor', 'Campy', 'Semi_Serious', 'Fantastic']
The Sting	['Clever', 'Feel_Good', 'Humorous', 'Witty', 'Captivating', 'Atmospheric', 'buddies', 'criminal_heroes', 'vengeance', 'cons_and_scams', 'gambling', 'Crimes', 'Dishonesty', 'COMEDY', 'CRIME', '20th_century', '30s', 'Chicago', 'USA', 'award_winner', 'blockbuster', 'Classic', 'critically_acclaimed', 'oscar_winner', 'Prestigious_Awards', 'Irreverent_humor', 'Twists_and_turns', 'Semi_Serious', 'Realistic', 'Mild_Violent_Content', 'Profanity']
A Beautiful Mind	['Gloomy', 'Sincere', 'Touching', 'Captivating', 'Atmospheric', 'Emotional', 'prodigy', 'mental_illness', 'Inventions_and_Discoveries', 'Mind_and_soul', 'Misfit', 'mentally_unstable', 'obsession', 'psychological', 'DRAMA', 'Hollywood_Tone', 'PERIOD', '20th_century', '50s', '60s', '70s', 'Boston', 'USA', 'University', 'campus', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Prestigious_Awards', 'based_on_book', 'biography', 'based_on_true_story', 'Serious', 'Realistic', 'Mild_Violent_Content']
The Green Mile	['Sentimental', 'Contemplative', 'Emotional', 'Offbeat', 'Touching', 'supernatural_ability', 'death_row', 'false_accusation', 'prison_life', 'Confined', 'Deadly', 'Dishonesty', 'Mind_and_soul', 'DRAMA', 'Hollywood_Tone', 'FANTASY', 'PERIOD', '20th_century', '30s', 'USA', 'Prison', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Modern_classic', 'Voice_over', 'based_on_book', 'Serious', 'Semi_fantastic', 'Profanity', 'Violent_Content']
Rain Man	['Feel_Good', 'Touching', 'Captivating', 'Uplifting', 'Bittersweet', 'Emotional', 'Sentimental', 'Sincere', 'mentally_challenged', 'redemption', 'siblings_relations', 'Hopes', 'Mind_and_soul', 'Misfit', 'Family_relations', 'self_discovery', 'DRAMA', 'Melodrama', '20th_century', '80s', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Modern_classic', 'Berlin_festival_winner', 'Prestigious_Awards', 'On_the_Road', 'Serious', 'Realistic', 'Profanity', 'Sexual_Content']
Modern Times	['Clever', 'Humorous', 'Thought_Provoking', 'Biting', 'Bittersweet', 'nothing_goes_right', 'down_on_your_luck', 'working_class', 'Hopes', 'Life_is_a_bitch', 'Misfit', 'Society', 'Disorder', 'COMEDY', 'Silent', '20th_century', '30s', 'USA', 'Urban', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'Satire', 'slapstick', 'Episodic', 'Semi_Serious', 'Realistic']
Epic Movie	['Humorous', 'young_heroes', 'imaginary_kingdom', 'Escapades', 'Heroes', 'Imaginary', 'Rivalry', 'Youth', 'Disorder', 'COMEDY', 'PARODY', 'ADVENTURE', 'FANTASY', 'contemporary', '21st_century', 'Teens', 'Grossout_humor', 'slapstick', 'Silly_Humor', 'Not_Serious', 'Fantastic', 'Fast', 'Mild_Violent_Content', 'Profanity', 'Sexual_Content']
The Truman Show	['Clever', 'Contemplative', 'Stylized', 'Humorous', 'Touching', 'Witty', 'Captivating', 'Thought_Provoking', 'manipulations', 'innocence_lost', 'self_discovery', 'media_satire', 'showbiz', 'suburban_life', 'tv_show', 'voyeurism', 'DRAMA', 'Postmodernism', 'COMEDY', '20th_century', '90s', 'Hollywood', 'USA', 'Suburbs', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Essential', 'Original', 'Modern_classic', 'Golden_globe_winner', 'Prestigious_Awards', 'Satire', 'Film_in_film', 'surreal', 'Semi_Serious', 'Semi_fantastic', 'classical']
Jurassic Park	['Suspenseful', 'anti_heroes', 'dangerous_animal', 'survival', 'child_in_danger', 'experiment_gone_awry', 'Danger', 'Deadly', 'Escapades', 'ADVENTURE', 'FANTASY', 'Hollywood_Tone', 'ACTION', '20th_century', '90s', 'Island', 'Theme_Park', 'Teens', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Modern_classic', 'oscar_winner', 'Prestigious_Awards', 'Serious', 'Fantastic', 'Fast', 'Violent_Content']
The Matrix	['Stylized', 'Exciting', 'Contemplative', 'Rough', 'Suspenseful', 'Thought_Provoking', 'Mind_Bending', 'man_versus_machine', 'save_the_world', 'future_dystopia', 'heroic_mission', 'technology_gone_awry', 'Danger', 'Heroes', 'ACTION', 'Hollywood_Tone', 'Neo_noir', 'Postmodernism', '20th_century', '21st_century', '90s', 'Teens', 'award_winner', 'blockbuster', 'critically_acclaimed', 'cult', 'groundbreaking', 'Original', 'Modern_classic', 'oscar_winner', 'Saga', 'Serious', 'Fantastic', 'Fast', 'Special_effects', 'Violent_Content']
Eegah	['Scary', 'Suspenseful', 'Sexy', 'teenage_life', 'mentally_challenged', 'intrigue', 'fall_in_love', 'tragic_love', 'fish_out_of_water', 'kidnapping', 'Danger', 'independent', 'FANTASY', '60s', 'Prehistory', 'California', 'USA', 'Desert', 'Semi_Serious', 'Fantastic']
Toy Story	['Feel_Good', 'Humorous', 'Witty', 'Exciting', 'Stylized', 'Touching', 'odd_couple', 'daring_rescue', 'friendship', 'Danger', 'Escapades', 'Imaginary', 'Rivalry', 'Friends', 'ADVENTURE', 'ANIMATION', 'COMEDY', 'FAMILY', 'FANTASY', 'Hollywood_Tone', '20th_century', '90s', 'USA', 'Family_outing', 'Kids', 'award_winner', 'blockbuster', 'critically_acclaimed', 'groundbreaking', 'Modern_classic', 'Semi_Serious', 'Fantastic', 'Computer_animated']
Grave of the Fireflies	['Bleak', 'Emotional', 'Atmospheric', 'Gloomy', 'orphan', 'survival', 'siblings_relations', 'child_in_danger', 'wartime_life', 'Danger', 'Escapades', 'Mind_and_soul', 'ANIMATION', 'DRAMA', 'WAR', 'foreign', 'Anime', 'PERIOD', '20th_century', '40s', 'World_War_2', 'Asia', 'Japan', 'award_winner', 'critically_acclaimed', 'based_on_book', 'Serious', 'Realistic', 'Violent_Content']
Fargo	['Witty', 'Clever', 'Offbeat', 'Stylized', 'Touching', 'Captivating', 'crime_gone_awry', 'Police_Investigation', 'americana', 'kidnapping', 'psychopath', 'Confined', 'Crimes', 'Deadly', 'CRIME', 'independent', 'Neo_noir', '20th_century', '80s', 'Minnesota', 'USA', 'Small_town', 'award_winner', 'critically_acclaimed', 'Essential', 'oscar_winner', 'Prestigious_Awards', 'Dark_Humor', 'gory', 'Strong_Female_Presence', 'Serious', 'Realistic', 'Strong_Violent_Content']
Annie Hall	['Clever', 'Humorous', 'Witty', 'Sentimental', 'Sincere', 'Bittersweet', 'unlikely_couple', 'battle_of_the_sexes', 'couple_relations', 'Love_and_romance', 'Couples', 'city_life', 'COMEDY', 'ROMANCE', 'Postmodernism', '20th_century', '70s', 'Los_Angeles', 'New_York', 'USA', 'Urban', 'Date_night', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'Original', 'Episodic', 'Voice_over', 'Talky', 'Semi_Serious', 'Realistic']
The Hustler	['Clever', 'Tense', 'Rough', 'Stylized', 'Suspenseful', 'anti_heroes', 'contests_and_competitions', 'destructive_relationship', 'cons_and_scams', 'Ambition', 'Dishonesty', 'Mind_and_soul', 'Misfit', 'DRAMA', 'ROMANCE', 'SPORT', '20th_century', '60s', 'California', 'San_Francisco', 'USA', 'award_winner', 'Classic', 'critically_acclaimed', 'masterpiece', 'Prestigious_Awards', 'oscar_winner', 'Talky', 'based_on_book', 'Serious', 'Realistic']
The Bridge on the River Kwai	['Rough', 'Exciting', 'Captivating', 'Suspenseful', 'soldier', 'survival', 'captivity', 'culture_clash', 'Danger', 'Escapades', 'Heroes', 'Military', 'DRAMA', 'WAR', 'Hollywood_Tone', 'HISTORICAL', '20th_century', 'World_War_2', 'Asia', 'Japan', 'Jungle', 'Prison', 'Burma', 'award_winner', 'Classic', 'critically_acclaimed', 'oscar_winner', 'Prestigious_Awards', 'based_on_book', 'Serious', 'Realistic']
The Perks of Being a Wallflower	['Sincere', 'Touching', 'Sentimental', 'coming_of_age', 'teenage_love', 'high_school_life', 'teenage_life', 'Youth', 'Friends', 'friendship', 'Hopes', 'DRAMA', 'ROMANCE', 'contemporary', '21st_century', 'USA', 'High_school', 'Teens', 'critically_acclaimed', 'Voice_over', 'based_on_book', 'Serious', 'Realistic']
City of God	['Bleak', 'Disturbing', 'Rough', 'Captivating', 'Stylized', 'criminal_heroes', 'gang', 'juvenile_delinquency', 'coming_of_age', 'drug_dealing', 'journalism', 'innocence_lost', 'social_decay', 'CRIME', 'foreign', 'DRAMA', 'PERIOD', '20th_century', '60s', '70s', 'Brazil', 'Rio_de_janeiro', 'Latin_America', 'Urban_Ghetto', 'award_winner', 'critically_acclaimed', 'Essential', 'Prestigious_Awards', 'Epic', 'based_on_book', 'Serious', 'Realistic', 'Profanity', 'Sexual_Content', 'Strong_Violent_Content']
High Noon	['Sincere', 'Suspenseful', 'Captivating', 'Tense', 'Atmospheric', 'Rough', 'vengeance', 'psychological', 'against_the_odds', 'small_town_life', 'Crimes', 'Danger', 'Heroes', 'Mind_and_soul', 'DRAMA', 'WESTERN', '19th_century', 'Old_west', 'Small_town', 'award_winner', 'Classic', 'critically_acclaimed', 'oscar_winner', 'Prestigious_Awards', 'based_on_book', 'Serious', 'Realistic', 'Mild_Violent_Content']
Double Indemnity	['Clever', 'Stylized', 'Cynical', 'Atmospheric', 'Bleak', 'Sexual', 'Suspenseful', 'Tense', 'betrayal', 'infidelity', 'murder', 'Crimes', 'Deadly', 'Dishonesty', 'Mind_and_soul', 'Couples', 'CRIME', 'THRILLER', 'Film_noir', 'Hollywood_Tone', '20th_century', '40s', 'California', 'USA', 'Classic', 'critically_acclaimed', 'masterpiece', 'based_on_book', 'Serious', 'Realistic', 'Violent_Content']
Cool Hand Luke	['Captivating', 'Rough', 'Thought_Provoking', 'buddies', 'breakout', 'human_spirit', 'rebelliousness', 'prison_life', 'Confined', 'Rebellion', 'anti_heroes', 'DRAMA', '20th_century', '60s', 'Prison', 'award_winner', 'critically_acclaimed', 'oscar_winner', 'Prestigious_Awards', 'based_on_book', 'Serious', 'Realistic']
The Godfather	['Atmospheric', 'Rough', 'Stylized', 'Captivating', 'Bleak', 'Suspenseful', 'criminal_heroes', 'gangsters', 'rise_and_fall', 'parents_and_children', 'family_business', 'Ambition', 'Crimes', 'Family_relations', 'CRIME', 'Hollywood_Tone', 'DRAMA', 'PERIOD', '20th_century', '40s', '50s', 'New_York', 'USA', 'Europe', 'Italy', 'Sicily', 'award_winner', 'blockbuster', 'Classic', 'critically_acclaimed', 'Essential', 'masterpiece', 'oscar_winner', 'Golden_globe_winner', 'All_star_cast', 'Epic', 'Saga', 'based_on_book', 'Serious', 'Realistic', 'Orchestral', 'Brief_Nudity', 'Profanity', 'Violent_Content']
Raging Bull	['Atmospheric', 'Gloomy', 'Rough', 'Stylized', 'Captivating', 'Tense', 'Disturbing', 'contests_and_competitions', 'rise_and_fall', 'redemption', 'siblings_relations', 'Ambition', 'Mind_and_soul', 'Rivalry', 'DRAMA', 'SPORT', 'PERIOD', '20th_century', '40s', '50s', '60s', 'New_York', 'USA', 'critically_acclaimed', 'masterpiece', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'based_on_book', 'based_on_true_story', 'Serious', 'Realistic', 'Violent_Content']
Nine Lives	['Sincere', 'Contemplative', 'Sentimental', 'Touching', 'human_nature', 'couple_relations', 'infidelity', 'love_affair', 'parents_and_children', 'terminal_illness', 'Love_and_romance', 'Mind_and_soul', 'DRAMA', 'Melodrama', 'contemporary', 'Ensemble_cast', 'Episodic', 'Strong_Female_Presence', 'Serious', 'Realistic', 'Slow']
Heat	['Atmospheric', 'Suspenseful', 'Exciting', 'Bleak', 'Rough', 'Stylized', 'Witty', 'Tense', 'master_criminal', 'Police_Detective', 'Crimes', 'Law_enforcement', 'Rivalry', 'criminal_heroes', 'tough_law_enforcer', 'CRIME', 'THRILLER', 'Neo_noir', 'Hollywood_Tone', 'ACTION', '20th_century', '90s', 'California', 'Los_Angeles', 'USA', 'Urban', 'blockbuster', 'critically_acclaimed', 'Modern_classic', 'All_star_cast', 'remake', 'Serious', 'Realistic', 'Profanity', 'Violent_Content']
The Shawshank Redemption	['Contemplative', 'Touching', 'Captivating', 'Clever', 'Gloomy', 'Sentimental', 'Sincere', 'Uplifting', 'human_spirit', 'redemption', 'false_accusation', 'prison_life', 'Confined', 'Dishonesty', 'Hopes', 'Life_is_a_bitch', 'DRAMA', 'PERIOD', '20th_century', '40s', '50s', '60s', 'USA', 'Prison', 'award_winner', 'critically_acclaimed', 'Essential', 'Modern_classic', 'Twists_and_turns', 'Talky', 'based_on_short_story', 'Serious', 'Realistic', 'Mild_Violent_Content', 'Profanity']
Strangers on a Train	['Atmospheric', 'Clever', 'Suspenseful', 'Exciting', 'Cynical', 'Stylized', 'Tense', 'psychological', 'cons_and_scams', 'murder', 'Crimes', 'Deadly', 'Dishonesty', 'Mind_and_soul', 'protagonist_as_suspect', 'CRIME', 'THRILLER', 'Film_noir', '20th_century', '50s', 'USA', 'Washington_dc', 'Train', 'Classic', 'critically_acclaimed', 'masterpiece', 'based_on_book', 'Serious', 'Realistic', 'Violent_Content']
Batman Begins	['Gloomy', 'Rough', 'Exciting', 'Atmospheric', 'Bleak', 'Stylized', 'Suspenseful', 'master_villain', 'secret_identity', 'superhero', 'fighting_crime', 'good_versus_evil', 'unfulfilled_love', 'Escapades', 'Heroes', 'Hollywood_Tone', 'ACTION', 'CRIME', 'FANTASY', 'contemporary', '21st_century', 'USA', 'Urban', 'Teens', 'award_winner', 'blockbuster', 'critically_acclaimed', 'All_star_cast', 'Epic', 'based_on_comics', 'Serious', 'Fantastic', 'Special_effects', 'Violent_Content']
Some Like It Hot	['Clever', 'Humorous', 'Witty', 'Captivating', 'Sexy', 'hidden_identity', 'witnessing_a_crime', 'love_triangle', 'gender_bending', 'Crimes', 'Dishonesty', 'Gender', 'Love_and_romance', 'COMEDY', 'ROMANCE', 'Hollywood_Tone', 'CRIME', 'MUSIC', 'PERIOD', '20s', '20th_century', 'Miami', 'USA', 'Date_night', 'award_winner', 'Classic', 'critically_acclaimed', 'Essential', 'oscar_winner', 'Prestigious_Awards', 'Comedy_of_errors', 'Screwball', 'remake', 'Not_Serious', 'Realistic', 'Jazz']
Saving Private Ryan	['Captivating', 'Bleak', 'Disturbing', 'Rough', 'obsessive_quest', 'heroic_mission', 'Battles', 'Danger', 'Military', 'rescue', 'military_life', 'Escapades', 'DRAMA', 'WAR', 'Hollywood_Tone', 'HISTORICAL', '20th_century', '40s', 'D_day', 'World_War_2', 'Europe', 'France', 'Battle_Zone', 'award_winner', 'blockbuster', 'critically_acclaimed', 'oscar_winner', 'Modern_classic', 'Prestigious_Awards', 'Ensemble_cast', 'Epic', 'gory', 'based_on_true_story', 'Serious', 'Realistic', 'Profanity', 'Strong_Violent_Content']
A Streetcar Named Desire	['Emotional', 'Touching', 'Sexy', 'Captivating', 'Atmospheric', 'Sexual', 'crumbling_marriage', 'psychological', 'redemption', 'couple_relations', 'infidelity', 'haunted_by_the_past', 'Love_and_romance', 'Mind_and_soul', 'DRAMA', 'Melodrama', '20th_century', '50s', 'Date_night', 'Classic', 'critically_acclaimed', 'groundbreaking', 'masterpiece', 'oscar_winner', 'Prestigious_Awards', 'All_star_cast', 'based_on_play', 'Serious', 'Realistic', 'Slow']
There Will Be Blood	['Bleak', 'Captivating', 'Tense', 'Atmospheric', 'Disturbing', 'Gloomy', 'clergy', 'lone_wolves', 'blind_ambition', 'manipulations', 'rise_to_the_top', 'obsession', 'americana', 'Estrangement', 'DRAMA', 'PERIOD', '1900s', '1910s', '20th_century', 'California', 'USA', 'Small_town', 'award_winner', 'critically_acclaimed', 'oscar_winner', 'Golden_globe_winner', 'Prestigious_Awards', 'Epic', 'Twists_and_turns', 'based_on_book', 'Serious', 'Realistic', 'Slow', 'Violent_Content']
The Beast of Yucca Flats	['Suspenseful', 'Scary', 'Offbeat', 'Rough', 'Exciting', 'deadly_creature', 'mad_scientist', 'zombie', 'apocalypse', 'experiment_gone_awry', 'Danger', 'Deadly', 'Disorder', 'HORROR', 'THRILLER', 'independent', '60s', 'Silly_Humor', 'Campy', 'Serious', 'Fantastic', 'Fast']
Space Mutiny	['Humorous', 'Exciting', 'Suspenseful', 'obsessive_quest', 'rescue', 'rebelliousness', 'heroic_mission', 'hijacking', 'space_travel', 'Danger', 'Escapades', 'ADVENTURE', 'independent', 'Futuristic', 'Future', 'Outer_space', 'Spacecraft', 'cult', 'Semi_Serious', 'Fantastic']
Up	['Humorous', 'Sexual', 'Offbeat', 'hidden_identity', 'dangerous_attraction', 'sexual_relations', 'murder', 'Crimes', 'Deadly', 'Couples', 'small_town_life', 'COMEDY', 'PARODY', '20th_century', '70s', 'Los_Angeles', 'USA', 'Nightclub', 'Small_town', 'Grossout_humor', 'Irreverent_humor', 'surreal', 'Not_Serious', 'Realistic']
Cool as Ice	['Humorous', 'gang', 'opposites_attract', 'rebelliousness', 'love_affair', 'teenage_love', 'small_town_life', 'Love_and_romance', 'Youth', 'COMEDY', 'ROMANCE', 'MUSIC', 'MUSICAL', '90s', 'Small_town', 'remake', 'Semi_Serious', 'Realistic', 'Hip_hop']
Trainspotting	['Disturbing', 'Stylized', 'Atmospheric', 'Bleak', 'Clever', 'Rough', 'Witty', 'Captivating', 'buddies', 'social_misfits', 'friendship', 'addiction', 'drug_abuse', 'Crimes', 'Life_is_a_bitch', 'Mind_and_soul', 'DRAMA', 'MUSIC', '20th_century', '90s', 'Europe', 'London', 'Scotland', 'Urban', 'award_winner', 'controversial', 'critically_acclaimed', 'cult', 'Essential', 'Modern_classic', 'Prestigious_Awards', 'Irreverent_humor', 'Voice_over', 'based_on_book', 'Semi_Serious', 'Realistic', 'electronica', 'Rock', 'Nudity', 'Profanity', 'Sexual_Content', 'Violent_Content']
Anus Magillicutty	['Humorous', 'assassination_attempt', 'crime_gone_awry', 'couple_relations', 'alcohol_abuse', 'Crimes', 'Deadly', 'Couples', 'COMEDY', 'contemporary', '21st_century', 'Not_Serious', 'Realistic', 'Nudity', 'Sexual_Content']
Santa Claus	['Humorous', 'Feel_Good', 'Offbeat', 'curses_spells_and_rituals', 'Righting_the_Wronged', 'Danger', 'Escapades', 'Heroes', 'Imaginary', 'Rivalry', 'Disorder', 'FANTASY', 'foreign', 'ADVENTURE', 'COMEDY', 'FAMILY', 'Mexico', 'Latin_America', 'Palaces_Castles_and_Temples', 'Family_outing', 'Silly_Humor', 'Campy', 'Semi_Serious', 'Fantastic']
Incendies	['Emotional', 'Captivating', 'Disturbing', 'Rough', 'Sincere', 'twins', 'obsessive_quest', 'self_discovery', 'siblings_relations', 'Mind_and_soul', 'Family_relations', 'dealing_with_death', 'uncover_truth', 'DRAMA', 'foreign', 'PERIOD', 'contemporary', '20th_century', '21st_century', '70s', 'Middle_East', 'Lebanon', 'critically_acclaimed', 'Prestigious_Awards', 'Episodic', 'Twists_and_turns', 'Strong_Female_Presence', 'based_on_play', 'Serious', 'Realistic', 'Violent_Content']
Sleuth	['Clever', 'Witty', 'Suspenseful', 'Mind_Bending', 'Tense', 'mind_game', 'psychological', 'Dishonesty', 'Rivalry', 'vengeance', 'riddles_and_clues', 'Crimes', 'MYSTERY', 'THRILLER', '20th_century', '70s', 'England', 'Indoors', 'Classic', 'critically_acclaimed', 'Verbal_byplay', 'Twists_and_turns', 'Talky', 'based_on_play', 'Serious', 'Realistic', 'Violent_Content']
Indiana Jones and the Last Crusade	['Exciting', 'Humorous', 'adventurer', 'master_villain', 'daring_rescue', 'good_versus_evil', 'treasure_hunt', 'heroic_mission', 'Danger', 'Escapades', 'ADVENTURE', 'Hollywood_Tone', 'ACTION', '1910s', '20th_century', '30s', 'Family_outing', 'Teens', 'award_winner', 'blockbuster', 'critically_acclaimed', 'Modern_classic', 'oscar_winner', 'Prestigious_Awards', 'Semi_Serious', 'Semi_fantastic', 'Fast', 'Special_effects', 'Mild_Violent_Content']
